node_id,stop_id,route_id,stop_lat,stop_lon,cluster_id,mode
93,3524,57,43.385799500000005,-80.39049700000001,1025,bus
94,3883,57,43.383556,-80.39875,1138,bus
95,3641,57,43.387951,-80.4115035,392,bus
96,1731,57,43.389642,-80.408066,393,bus
97,1066,67,43.392727666666666,-80.32265616666666,36,bus
98,4147,67,43.39541833333334,-80.32388266666668,274,bus
99,3986,67,43.396223,-80.31768833333334,152,bus
100,3985,67,43.400565,-80.318477,1171,bus
101,3984,67,43.4027085,-80.319106,195,bus
102,3983,67,43.402818,-80.314212,1170,bus
103,3982,67,43.403157500000006,-80.312359,193,bus
104,3981,67,43.404747,-80.31016149999999,1031,bus
105,3980,67,43.406302,-80.305999,1169,bus
106,3979,67,43.407332,-80.3006035,191,bus
107,3978,67,43.408105500000005,-80.296044,1030,bus
108,3977,67,43.408906,-80.293033,189,bus
109,3976,67,43.4101195,-80.293414,188,bus
110,3975,67,43.411226,-80.28887449999999,1168,bus
111,3974,67,43.413278000000005,-80.285816,1167,bus
112,3973,67,43.415197500000005,-80.2875435,1166,bus
113,3972,67,43.413807,-80.294946,187,bus
114,3960,67,43.413193,-80.29853349999999,186,bus
115,3971,67,43.412629,-80.302521,1165,bus
116,3970,67,43.41145,-80.309773,1164,bus
117,3968,67,43.410407,-80.315488,1163,bus
118,4179,67,43.409941,-80.31743,183,bus
119,3967,67,43.409135500000005,-80.321843,182,bus
120,2648,67,43.4086725,-80.324337,780,bus
121,3508,67,43.408189,-80.3272035,1020,bus
122,3509,67,43.407160000000005,-80.3332965,832,bus
123,3510,67,43.405786500000005,-80.341284,831,bus
124,1282,67,43.40468966666666,-80.34759166666667,156,bus
125,1283,67,43.404041,-80.35180700000001,157,bus
126,1284,67,43.403544499999995,-80.3547755,158,bus
127,1435,67,43.401259,-80.360654,254,bus
128,1436,67,43.4000615,-80.3619595,255,bus
129,1627,67,43.39873,-80.363539,314,bus
130,1628,67,43.399891499999995,-80.368232,313,bus
131,3934,67,43.4038045,-80.3701455,1153,bus
132,3742,67,43.4089955,-80.37322,1082,bus
133,3935,67,43.412729,-80.37512050000001,651,bus
134,3936,67,43.414114999999995,-80.3799545,1154,bus
135,3937,67,43.415775,-80.384387,650,bus
136,2318,67,43.416753,-80.38719866666666,160,bus
137,1572,67,43.4099205,-80.39298166666667,306,bus
138,3939,67,43.416753,-80.38719866666666,160,bus
139,2310,67,43.415775,-80.384387,650,bus
140,3940,67,43.414114999999995,-80.3799545,1154,bus
141,2312,67,43.412729,-80.37512050000001,651,bus
142,3941,67,43.4089955,-80.37322,1082,bus
143,3942,67,43.4038045,-80.3701455,1153,bus
144,1584,67,43.399891499999995,-80.368232,313,bus
145,2393,67,43.39873,-80.363539,314,bus
146,2789,67,43.4000615,-80.3619595,255,bus
147,2790,67,43.401901,-80.35963,830,bus
148,1289,67,43.403544499999995,-80.3547755,158,bus
149,1290,67,43.404041,-80.35180700000001,157,bus
150,2650,67,43.40468966666666,-80.34759166666667,156,bus
151,2791,67,43.405786500000005,-80.341284,831,bus
152,2792,67,43.407160000000005,-80.3332965,832,bus
153,1325,67,43.407591,-80.32816,181,bus
154,3600,67,43.408189,-80.3272035,1020,bus
155,2647,67,43.4086725,-80.324337,780,bus
156,1326,67,43.409135500000005,-80.321843,182,bus
157,1327,67,43.409941,-80.31743,183,bus
158,3543,67,43.410888,-80.311605,1029,bus
159,3514,67,43.41162,-80.307632,1022,bus
160,1329,67,43.412689,-80.301271,185,bus
161,1330,67,43.413193,-80.29853349999999,186,bus
162,1331,67,43.413807,-80.294946,187,bus
163,3989,67,43.415197500000005,-80.2875435,1166,bus
164,3988,67,43.413278000000005,-80.285816,1167,bus
165,3987,67,43.411226,-80.28887449999999,1168,bus
166,1332,67,43.4101195,-80.293414,188,bus
167,1333,67,43.408906,-80.293033,189,bus
168,3546,67,43.408105500000005,-80.296044,1030,bus
169,1335,67,43.407332,-80.3006035,191,bus
170,1336,67,43.405804999999994,-80.30711799999999,192,bus
171,3547,67,43.404747,-80.31016149999999,1031,bus
172,1337,67,43.403157500000006,-80.312359,193,bus
173,1338,67,43.403151,-80.315681,194,bus
174,1339,67,43.4027085,-80.319106,195,bus
175,1340,67,43.399646,-80.318314,196,bus
176,4146,67,43.396223,-80.31768833333334,152,bus
177,1320,67,43.395942,-80.32085,179,bus
178,3495,28,43.421456,-80.441673,1015,bus
179,2497,28,43.42276699999999,-80.44497899999999,734,bus
180,2506,28,43.423525,-80.44663700000001,736,bus
181,2597,28,43.424743,-80.4489485,762,bus
182,2599,28,43.426846,-80.4529265,761,bus
183,2600,28,43.428004,-80.45501,763,bus
184,2601,28,43.4294615,-80.455646,760,bus
185,2602,28,43.431159,-80.454438,754,bus
186,2603,28,43.4343415,-80.45271650000001,753,bus
187,2968,28,43.434266,-80.44777275000001,437,bus
188,2624,28,43.4359885,-80.4469805,770,bus
189,2625,28,43.437878999999995,-80.44588250000001,771,bus
190,2626,28,43.439956499999994,-80.4463825,772,bus
