geometry_id,geometry
1901,"LINESTRING (554569.4475921101 4807588.544342257, 554612.9466609495 4807625.4919057535, 554607.8683866623 4807642.776819975, 554606.3231794531 4807653.648605713, 554605.5047425394 4807664.74840163, 554605.4967198961 4807675.743691839, 554606.2982088327 4807686.745533294, 554607.909205391 4807697.753926314, 554609.3924488378 4807704.540846443, 554620.8967233469 4807763.497992924, 554622.1227025772 4807772.059861931, 554622.5400767021 4807780.504121165, 554622.1470507177 4807789.052884323, 554620.9445267305 4807797.59509458, 554618.9352047826 4807805.79758151, 554616.1973404002 4807813.9941718755, 554612.7345318076 4807821.740638751, 554608.5458820397 4807829.148040171, 554603.6322916572 4807836.105320508, 554597.5845220956 4807843.164490946, 554566.3770540946 4807868.123616553, 554656.6997314104 4807990.803229513, 554678.7191018839 4808020.746867459, 554700.7446668723 4808039.917396439)"
1902,"LINESTRING (554777.7273872166 4808154.938224395, 554779.518004428 4808158.72895029, 554792.0048086671 4808176.156384966, 554823.7719030441 4808221.728708154, 554872.9829751926 4808292.210408504, 554878.1010548545 4808299.915481809, 554887.9469171498 4808313.545435286, 554898.4439025495 4808326.736445079, 554909.5110659961 4808339.487855396, 554921.2311580284 4808351.578213904, 554933.4422924828 4808363.006205748, 554946.2236045143 4808373.994606903, 554960.2999606663 4808384.993583653, 554966.739194485 4808389.488623453, 555026.441845649 4808433.7347280085, 555099.9022105457 4808488.200601605, 555146.215465094 4808526.396501363)"
1903,"LINESTRING (555146.215465094 4808526.396501363, 555159.5230858503 4808532.336188344, 555263.6358417408 4808609.489641054, 555276.035110246 4808617.587880409, 555404.5359541259 4808701.385202971, 555540.7419467231 4808782.9161213655)"
1904,"LINESTRING (555540.7419467231 4808782.9161213655, 555539.9787550493 4808787.130294255, 555548.4342707911 4808792.419960159, 555602.9473561519 4808827.077024164, 555712.6300064264 4808900.007534514)"
1905,"LINESTRING (555712.6300064264 4808900.007534514, 555677.4250587624 4808874.893878576, 555777.1044253451 4808938.69112665, 555765.6458484582 4808963.80807907, 555761.989177831 4808975.328581812, 555759.2209760294 4808987.078560853, 555758.2921235703 4808991.735601922, 555738.9066540244 4809123.964570948, 555714.0403614615 4809292.688648765, 555714.0403614615 4809292.688648765, 555710.7157706401 4809317.9284267165)"
1906,"LINESTRING (555710.7157706401 4809317.9284267165, 555688.2271997866 4809468.402106903, 555683.9734600512 4809493.467632165, 555678.8166898565 4809520.080612348, 555672.9334303878 4809546.465469635, 555670.0055688514 4809557.992041509, 555607.8139721774 4809542.485178182, 555542.8759932307 4809526.289884562, 555477.0474887618 4809510.087896084, 555449.5351394058 4809509.417365383)"
1907,"LINESTRING (555449.5351394058 4809509.417365383, 555451.0402671555 4809503.543308956, 555411.9470446929 4809493.892538192, 555324.2305989093 4809472.070071287, 555261.3145555216 4809455.8941012295, 555001.0977756337 4809387.572321778, 554997.4502848812 4809401.462673423)"
1908,"LINESTRING (554997.4502848812 4809401.462673423, 554990.4872177937 4809428.246507698, 554990.4872177937 4809428.246507698, 554983.6236591407 4809456.067763754, 554961.7031420461 4809543.852257431, 554943.7066154971 4809626.893015594)"
1909,"LINESTRING (555009.728930945 4809797.915533106, 555007.6958176328 4809799.120659113, 555020.9838973485 4809826.995243332, 555025.5141849038 4809837.13909753, 555061.9359692017 4809916.070226246, 555083.8837336234 4809963.674125721, 555087.710920997 4809970.702470641, 555092.1891199402 4809977.291878071, 555097.3983456856 4809983.554067884, 555103.1794725065 4809989.154547143, 555109.5325007506 4809994.093317293, 555116.2128449406 4809998.590510146, 555123.3868923056 4810002.092163135, 555130.888258213 4810005.152241138, 555138.6396530054 4810007.325854151, 555146.478324437 4810008.722736637, 555152.7867157783 4810009.218592914, 555199.7477401055 4810006.493065549, 555210.9951874578 4810006.696217692, 555222.317191032 4810007.677452694, 555233.4709766821 4810009.434782299, 555242.2752492246 4810011.506075125, 555235.7111216692 4810061.9867796805)"
1910,"LINESTRING (555235.7111216692 4810061.9867796805, 555230.724840011 4810058.169730658, 555215.2420928564 4810120.572404782, 555169.3082672636 4810304.452912889, 555168.1081422755 4810312.661889378, 555167.7163077424 4810320.988544854, 555168.1354869307 4810329.099707035, 555169.2820311994 4810337.327886108, 555171.8723974042 4810347.122788224, 555194.0706687542 4810393.507453463, 555227.326121475 4810463.195325866, 555229.3217763319 4810466.543620233, 555234.0431602419 4810473.024062508, 555239.1727636086 4810479.063593609, 555245.116994994 4810484.443415027, 555251.3894382499 4810489.2706073485, 555258.2346675934 4810493.325046352, 555265.409931747 4810496.604743773, 555271.379620775 4810498.874981032, 555295.4484100911 4810504.514530679, 555330.7111057816 4810506.914082208)"
1911,"LINESTRING (555330.7111057816 4810506.914082208, 555329.5308656768 4810512.679770718, 555428.3065367956 4810536.1484046485, 555409.4676185625 4810612.961542274, 555406.4259371017 4810628.596699895, 555401.1736742739 4810657.208290925, 555396.8096960019 4810686.049315953, 555393.1739864724 4810714.896328696, 555390.4265404687 4810743.972772695, 555388.4073432024 4810773.055202393, 555387.1972991426 4810802.144282043, 555386.9478720156 4810812.804470013, 555435.7978714375 4810815.87157838, 555439.5935103588 4810816.791313424, 555447.7466136737 4810819.190736178, 555455.5705748769 4810822.253851139, 555462.9835646898 4810826.091048928, 555470.1483222058 4810830.592602382, 555476.8211912529 4810835.86757051, 555482.9230853543 4810841.693170937, 555488.3730910685 4810848.068736087, 555491.7357971771 4810852.427952592, 555519.2840959032 4810897.191862011, 555525.5349152804 4810904.573640178, 555531.7139573366 4810910.844182827, 555538.5448632488 4810916.564777009, 555545.9485509067 4810921.512642957, 555553.6004566558 4810925.796172681, 555561.7442349157 4810929.30631029, 555570.1353196083 4810932.263171432, 555574.7381678233 4810933.411768879, 555796.8352778205 4810985.003697789, 555833.243725888 4810985.527303153)"
1912,"LINESTRING (555833.243725888 4810985.527303153, 555831.4829479553 4810992.954082608, 556001.2483158687 4811031.791324199, 556008.1900290768 4811004.638029135, 556014.6927492414 4810932.943956636)"
1913,"LINESTRING (556014.6927492414 4810932.943956636, 556022.7747591836 4810934.121773486, 556025.3882702079 4810921.482064804, 556058.7275936871 4810755.938943464)"
1914,"LINESTRING (556110.7211252111 4810536.906777763, 556119.038952596 4810538.975185031, 556122.8133566938 4810523.013225933, 556126.4680274735 4810511.7150077615, 556133.0440660438 4810499.44152883, 556138.8955673494 4810486.717762273, 556144.0206786275 4810473.765821114, 556148.4203210834 4810460.474646321, 556152.0126477748 4810446.954619986, 556154.7167357365 4810433.205066879, 556156.7734853828 4810419.450122883, 556158.0219803298 4810405.577381958, 556158.3812967164 4810391.586169679, 556158.0123421017 4810377.588891425, 556157.7219680657 4810373.588128501, 556147.883181564 4810311.198656781, 556144.0286243159 4810288.176081608, 556139.5872515973 4810267.592055766, 556134.4175643593 4810247.001970157, 556128.4349369012 4810226.849382407, 556121.6421365003 4810206.801122545, 556114.1182290993 4810187.079981312, 556106.1004293634 4810168.354325563, 556097.2687457907 4810150.177234388, 556086.036143416 4810128.759297546, 556082.4463807392 4810122.509794846, 556074.0714729738 4810107.779553303, 556056.6725826437 4810097.972219556)"
1915,"LINESTRING (556056.6725826437 4810097.972219556, 556064.568230392 4810092.484615698, 556061.3747301422 4810087.238005551, 556048.1086796429 4810067.024946413, 556034.1087035672 4810047.4722062955, 556028.1859204756 4810039.537371679, 556021.6185057072 4810031.263991596, 556014.6390772267 4810023.875715606, 556007.0076337953 4810017.037356372, 555999.0478692446 4810010.7516044, 555990.515169666 4810005.238559585, 555981.4913823153 4810000.387838589, 555972.2192797785 4809996.201458613, 555965.2801260912 4809993.700429729, 555842.1180261793 4809962.913893531, 555835.0049887594 4809961.855404563, 555827.722745075 4809961.684041765, 555820.5149894697 4809962.2907581115, 555813.380805137 4809963.786610677, 555806.483881111 4809965.95082406, 555799.9851480265 4809968.89579423, 555795.3449137155 4809972.189343856, 555789.8053325356 4809976.586104763, 555784.0119616545 4809982.313549752, 555779.6752274453 4809988.053049501, 555775.4985105164 4809994.016005489, 555771.7062096016 4810002.425572293, 555745.0281437732 4810077.284859082, 555742.0736127907 4810082.258355312, 555737.8979037701 4810088.110277277, 555732.9984898916 4810093.400894942, 555727.537216475 4810098.13154752, 555721.515001195 4810102.191179011, 555715.092770224 4810105.692185628, 555708.4360374961 4810108.191676283, 555701.3792859724 4810110.13254408, 555694.1680330052 4810111.183623494, 555687.0450425083 4810111.346920075, 555679.6857056132 4810110.73081789, 555623.2218458836 4810098.04763443, 555590.7371780915 4810102.000193377)"
1916,"LINESTRING (555587.0459503199 4809872.398646175, 555591.5676833689 4809873.657636816, 555622.792485007 4809747.85651757, 555664.7271169575 4809569.9434709195)"
1917,"LINESTRING (554676.719247609 4805298.99545263, 554661.0397217893 4805295.092344745, 554588.6780244969 4805585.771782043)"
1918,"LINESTRING (554536.9711455479 4805796.319675162, 554500.3197088757 4805952.845867987)"
1919,"LINESTRING (555655.3633975369 4800729.473811563, 555628.6254262101 4800781.370239762, 555611.731972522 4800785.895947148, 555617.9987422881 4800861.470505191, 555619.7327939006 4800877.255752345, 555621.0415759606 4800895.480894508, 555621.2335188026 4800901.702016825, 555623.3282293552 4801011.560838678, 555620.8433984239 4801067.349707763)"
1920,"LINESTRING (554718.1936505162 4806756.434666558, 554677.0436290124 4806748.715434887, 554677.0436290124 4806748.715434887, 554665.4839861107 4806746.400522069, 554660.5704757201 4806753.246699969, 554655.0956346347 4806759.421951661, 554648.9767021954 4806765.1477365, 554613.6792153423 4806794.627199892, 554543.313690181 4806855.365547444, 554518.6102188432 4806876.490251662, 554511.2770952588 4806882.206350936, 554503.383536477 4806887.140484089, 554495.1715265607 4806891.405670935, 554486.6410637252 4806895.00191264, 554477.7120817491 4806897.81750015, 554468.6274599598 4806899.854395174, 554459.3880914892 4806901.001541577, 554453.7982252875 4806901.400695919, 554451.1256293391 4806901.490197782, 554444.88180829 4806902.661531715, 554438.7954318147 4806904.389461361, 554433.0266310109 4806906.897405747, 554427.574511907 4806910.296420844, 554422.6855394865 4806914.1442372035, 554418.2760670254 4806918.773371196, 554414.5115971573 4806923.740900198, 554411.3894430188 4806929.3799935095, 554408.9950404916 4806935.136018972, 554407.8807843829 4806942.790453012, 554407.1833554826 4806959.000176238, 554409.0436322251 4807029.540824159, 554410.8799816973 4807183.379321838, 554413.993436681 4807188.8465631595, 554415.9761737284 4807193.971496581, 554417.2285034091 4807199.312669186, 554417.5786628595 4807206.090400173, 554418.2854308455 4807248.966827155, 554432.4257107641 4807352.814714551, 554434.0155840424 4807366.488421783, 554436.4176863771 4807379.835489482, 554439.6293256016 4807393.189089138, 554442.3074204216 4807402.42901465, 554445.2346431753 4807410.893502751, 554448.7718581848 4807424.027606553, 554451.5786789533 4807437.377947277, 554453.575947814 4807450.721756976, 554454.8428310392 4807464.281801919, 554455.169631142 4807473.947017121, 554455.7329862998 4807544.588345244, 554456.5003918719 4807549.814552328, 554458.0773238002 4807555.047292679, 554460.5483181513 4807559.842992636, 554463.58956292 4807564.199039637, 554467.2820102373 4807568.116087875, 554471.626556226 4807571.483081516, 554475.5761974248 4807573.62518443, 554495.5140746465 4807580.894277648, 554504.0923441561 4807581.296753396, 554515.9842799313 4807582.392395293, 554520.5122329034 4807583.095363101, 554527.7871829509 4807584.486916166, 554539.502843261 4807587.35820179, 554550.8892976714 4807590.893231543, 554562.0256995982 4807595.314772177, 554569.4475921101 4807588.544342257)"
