geometry_id,geometry
50,"LINESTRING (555693.3558999998 4797036.6271, 555696.1842 4797014.1216, 555699.7298999997 4796978.638900001, 555701.5853000004 4796933.6280000005, 555700.1339999996 4796884.9979, 555697.7180000003 4796832.978499999, 555696.0192999998 4796791.197000001)"
51,"LINESTRING (549243.5307 4816418.491900001, 549326.6736000003 4816458.5438)"
52,"LINESTRING (549243.5307 4816418.491900001, 549326.6736000003 4816458.5438)"
53,"LINESTRING (549326.6736000003 4816458.5438, 549476.9457999999 4816530.9091, 549601.3838999998 4816589.687100001, 549782.0338000003 4816677.339299999, 550061.8894999996 4816812.4518)"
54,"LINESTRING (549326.6736000003 4816458.5438, 549476.9457999999 4816530.9091, 549601.3838999998 4816589.687100001, 549782.0338000003 4816677.339299999, 550061.8894999996 4816812.4518)"
55,"LINESTRING (550339.1890000002 4816953.4131000005, 550800.4203000003 4817187.6554000005, 550914.3167000003 4817246.1622)"
56,"LINESTRING (550339.1890000002 4816953.4131000005, 550800.4203000003 4817187.6554000005, 550914.3167000003 4817246.1622)"
57,"LINESTRING (524970.0080000004 4803099.9529, 524828.5422999999 4802988.5656, 524662.4956999999 4802858.1021)"
58,"LINESTRING (524970.0080000004 4803099.9529, 524828.5422999999 4802988.5656, 524662.4956999999 4802858.1021)"
59,"LINESTRING (562178.3991 4798140.782299999, 561882.7114000004 4798297.8803, 561824.9574999996 4798328.074200001, 561805.8601000002 4798338.452099999)"
60,"LINESTRING (562178.3991 4798140.782299999, 561882.7114000004 4798297.8803, 561824.9574999996 4798328.074200001, 561805.8601000002 4798338.452099999)"
61,"LINESTRING (556310.1533000004 4792146.712400001, 556060.5762999998 4793005.487600001, 556029.1266999999 4793107.5668, 556006.5577999996 4793182.001700001, 555890.9263000004 4793558.505000001, 555869.3635 4793632.300000001, 555853.4572000001 4793684.9092999995, 555845.5658999998 4793709.9142)"
62,"LINESTRING (556310.1533000004 4792146.712400001, 556060.5762999998 4793005.487600001, 556029.1266999999 4793107.5668, 556006.5577999996 4793182.001700001, 555890.9263000004 4793558.505000001, 555869.3635 4793632.300000001, 555853.4572000001 4793684.9092999995, 555845.5658999998 4793709.9142)"
63,"LINESTRING (523718.3959999997 4801838.229699999, 523578.01049999986 4801668.7742, 523447.9653000003 4801509.1667, 523425.09130000044 4801481.4923, 523392.2729000002 4801444.899800001, 523368.5826000003 4801420.2848000005, 523346.9537000004 4801397.9893)"
64,"LINESTRING (523718.3959999997 4801838.229699999, 523578.01049999986 4801668.7742, 523447.9653000003 4801509.1667, 523425.09130000044 4801481.4923, 523392.2729000002 4801444.899800001, 523368.5826000003 4801420.2848000005, 523346.9537000004 4801397.9893)"
65,"LINESTRING (555665.6907000002 4797751.062100001, 555667.0681999996 4797706.930600001, 555669.4017000003 4797623.537599999, 555671.7435999997 4797555.4715, 555674.0028999997 4797473.4482, 555676.5839 4797390.455, 555678.3567000004 4797308.1018, 555680.5335999997 4797227.5282000005, 555682.7929999996 4797153.4133, 555683.6010999996 4797130.018100001, 555685.2172999997 4797104.4333, 555686.9183999998 4797088.3182)"
66,"LINESTRING (555665.6907000002 4797751.062100001, 555667.0681999996 4797706.930600001, 555669.4017000003 4797623.537599999, 555671.7435999997 4797555.4715, 555674.0028999997 4797473.4482, 555676.5839 4797390.455, 555678.3567000004 4797308.1018, 555680.5335999997 4797227.5282000005, 555682.7929999996 4797153.4133, 555683.6010999996 4797130.018100001, 555685.2172999997 4797104.4333, 555686.9183999998 4797088.3182)"
67,"LINESTRING (560784.8245999999 4798848.068299999, 560848.4928000001 4798816.2248)"
68,"LINESTRING (560784.8245999999 4798848.068299999, 560848.4928000001 4798816.2248)"
69,"LINESTRING (556017.3846000005 4795428.374399999, 556021.1365 4795402.5897, 556023.6349999998 4795380.484200001, 556026.3230999997 4795349.6105, 556028.2444000002 4795315.927300001, 556027.9722999996 4795272.2162, 556025.5727000004 4795223.4561, 556023.7834000001 4795187.0835, 556020.6416999996 4795149.0713, 556016.7827000003 4795119.577299999, 556009.4439000003 4795077.955700001, 555990.7505000001 4794992.453199999)"
70,"LINESTRING (556017.3846000005 4795428.374399999, 556021.1365 4795402.5897, 556023.6349999998 4795380.484200001, 556026.3230999997 4795349.6105, 556028.2444000002 4795315.927300001, 556027.9722999996 4795272.2162, 556025.5727000004 4795223.4561, 556023.7834000001 4795187.0835, 556020.6416999996 4795149.0713, 556016.7827000003 4795119.577299999, 556009.4439000003 4795077.955700001, 555990.7505000001 4794992.453199999)"
71,"LINESTRING (555999.2520000003 4795531.453400001, 556004.8299000002 4795504.541999999, 556010.3280999996 4795473.3201, 556017.3846000005 4795428.374399999)"
72,"LINESTRING (555999.2520000003 4795531.453400001, 556004.8299000002 4795504.541999999, 556010.3280999996 4795473.3201, 556017.3846000005 4795428.374399999)"
73,"LINESTRING (555696.0192999998 4796791.197000001, 555694.733 4796755.464299999, 555694.568 4796721.191299999, 555695.6977000004 4796692.237199999, 555699.4084000001 4796639.6479, 555708.1490000002 4796526.740900001, 555714.0034999996 4796482.9398, 555720.0559999999 4796445.3574, 555736.4239999996 4796352.6063)"
74,"LINESTRING (555696.0192999998 4796791.197000001, 555694.733 4796755.464299999, 555694.568 4796721.191299999, 555695.6977000004 4796692.237199999, 555699.4084000001 4796639.6479, 555708.1490000002 4796526.740900001, 555714.0034999996 4796482.9398, 555720.0559999999 4796445.3574, 555736.4239999996 4796352.6063)"
75,"LINESTRING (555851.3214999996 4794380.377699999, 555820.1852000002 4794244.6654)"
76,"LINESTRING (555851.3214999996 4794380.377699999, 555820.1852000002 4794244.6654)"
77,"LINESTRING (557639.8782000002 4815254.5889, 557875.9896999998 4815546.9893)"
78,"LINESTRING (557639.8782000002 4815254.5889, 557875.9896999998 4815546.9893)"
79,"LINESTRING (547281.2719 4815262.1698, 547334.9392999997 4815350.7993, 547373.7121000001 4815412.5756)"
