origin_zone_id,dest_zone_id,bus,ion,transit_min_gc
40903,12710,50.327,41.8262,41.8262
13010,21610,,41.793200000000006,41.793200000000006
13011,21626,,41.7734,41.7734
13002,40535,50.148799999999994,41.730500000000006,41.730500000000006
40424,12522,,41.72719999999999,41.72719999999999
40521,12712,53.306900000000006,41.72389999999999,41.72389999999999
40438,13010,,41.717299999999994,41.717299999999994
40434,13009,,41.68429999999999,41.68429999999999
40903,12904,,41.67439999999999,41.67439999999999
40526,12715,57.0722,41.6678,41.6678
13010,40405,,41.6546,41.6546
13008,40528,49.70989999999999,41.6546,41.6546
40422,12715,67.94900000000001,41.6381,41.6381
12710,40777,44.3177,41.62490000000001,41.62490000000001
40424,12718,55.732400000000005,41.62489999999999,41.62489999999999
13010,40411,,41.618300000000005,41.618300000000005
13010,40438,,41.61500000000001,41.61500000000001
21208,13138,51.1949,41.5886,41.5886
13008,40424,44.5322,41.5721,41.5721
40536,13138,60.7682,41.5292,41.5292
40521,12507,,41.51269999999999,41.51269999999999
40903,13009,49.99699999999999,41.496199999999995,41.496199999999995
40424,12503,,41.47639999999999,41.47639999999999
40737,12715,49.8485,41.46979999999999,41.46979999999999
40438,13136,,41.4368,41.4368
13002,40435,,41.4335,41.4335
13006,40436,,41.4071,41.4071
40438,13002,,41.40709999999999,41.40709999999999
40434,13010,,41.3873,41.3873
21242,13138,50.864900000000006,41.3543,41.3543
13138,40436,,41.3213,41.3213
40536,12715,57.4154,41.3048,41.3048
40424,13027,55.4024,41.30479999999999,41.30479999999999
13010,40903,,41.28830000000001,41.28830000000001
13002,40424,42.5522,41.2817,41.2817
13010,40439,,41.25200000000001,41.25200000000001
40424,12735,55.131800000000005,41.25199999999999,41.25199999999999
13010,21518,,41.2223,41.2223
13002,40513,44.221999999999994,41.2223,41.2223
40906,12715,49.5185,41.22229999999999,41.22229999999999
40405,13138,55.07900000000001,41.2025,41.2025
40903,13010,49.666999999999994,41.1992,41.1992
13011,40506,,41.18600000000001,41.18600000000001
40438,12707,,41.179399999999994,41.179399999999994
13010,40422,,41.169500000000006,41.169500000000006
13009,40535,49.4888,41.1233,41.1233
