node_id,stop_id,route_id,stop_lat,stop_lon,cluster_id
1579,2748,205,43.437878,-80.478497,957
1580,1391,205,43.442329,-80.4742135,244
1581,1939,205,43.444278,-80.466881,553
1582,2851,205,43.4476995,-80.458479,902
1583,1953,205,43.448724,-80.450306,567
1584,4098,205,43.450948,-80.443774,1479
1585,1671,205,43.4539015,-80.435411,401
1586,1277,205,43.4565685,-80.4318415,34
1587,1277,204,43.4565685,-80.4318415,34
1588,1677,204,43.462356,-80.436929,404
1589,1933,204,43.4648935,-80.43678750000001,549
1590,1678,204,43.471599,-80.442218,405
1591,1692,204,43.468861,-80.450109,416
1592,1935,204,43.466276,-80.457696,550
1593,1937,204,43.464349999999996,-80.46419900000001,551
1594,2352,204,43.460593,-80.476597,768
1595,1924,204,43.458706,-80.482167,542
1596,1912,204,43.4566765,-80.489036,531
1597,1921,204,43.454965,-80.493645,540
1598,1474,204,43.452896,-80.49807266666666,302
1599,1899,204,43.4522335,-80.49170050000001,505
1600,1088,204,43.449374750000004,-80.48755874999999,0
1601,1089,204,43.4486015,-80.488606,45
1602,2754,204,43.445766000000006,-80.493353,941
1603,2755,204,43.442477,-80.49676,959
1604,3356,204,43.439482,-80.507968,1173
1605,3357,204,43.438024999999996,-80.5105195,1174
1606,3198,204,43.435579,-80.515513,1111
1607,3199,204,43.433980000000005,-80.51951,1102
1608,1716,204,43.431529999999995,-80.526004,430
1609,1654,204,43.429446999999996,-80.5317925,256
1610,1314,204,43.4252375,-80.5438785,123
1611,2672,204,43.4239095,-80.549078,915
1612,1203,204,43.423486499999996,-80.55270300000001,109
1613,1101,204,43.4293075,-80.5532415,50
1614,4000,204,43.435396857142855,-80.56067799999998,1376
1615,1095,204,43.4293075,-80.5532415,50
1616,1180,204,43.423486499999996,-80.55270300000001,109
1617,2669,204,43.4239095,-80.549078,915
1618,1211,204,43.4252375,-80.5438785,123
1619,1406,204,43.429446999999996,-80.5317925,256
1620,3173,204,43.431529999999995,-80.526004,430
1621,3175,204,43.433980000000005,-80.51951,1102
1622,3389,204,43.435674,-80.514516,1177
1623,3390,204,43.438024999999996,-80.5105195,1174
1624,3391,204,43.439482,-80.507968,1173
1625,1982,204,43.441709,-80.497319,592
1626,2706,204,43.445766000000006,-80.493353,941
1627,1377,204,43.448180666666666,-80.48801366666667,237
1628,1000,204,43.449374750000004,-80.48755874999999,0
1629,1879,204,43.4522335,-80.49170050000001,505
1630,1893,204,43.452896,-80.49807266666666,302
1631,2541,204,43.4540425,-80.495428,516
1632,1903,204,43.456287,-80.489348,14
1633,1923,204,43.458706,-80.482167,542
1634,1987,204,43.460823,-80.474932,597
1635,1936,204,43.464349999999996,-80.46419900000001,551
1636,2333,204,43.466276,-80.457696,550
1637,2337,204,43.469541,-80.447392,761
1638,2339,204,43.47095,-80.440888,762
1639,1932,204,43.4648935,-80.43678750000001,549
1640,1679,204,43.4614,-80.43696,406
1641,1057,204,43.4565685,-80.4318415,34
1642,1907,16,43.464542,-80.52214900000001,527
1643,4099,16,43.46748,-80.524765,1480
1644,1270,16,43.462133,-80.5232515,165
1645,3743,16,43.461088,-80.521898,1301
1646,2536,16,43.46028,-80.5191325,524
1647,2538,16,43.4583775,-80.5153,523
1648,1272,16,43.457379,-80.513581,166
1649,1922,16,43.456625,-80.515869,541
1650,2689,16,43.454971,-80.5189665,572
1651,3897,16,43.4521045,-80.51714,960
1652,2692,16,43.450292000000005,-80.51595900000001,931
1653,2694,16,43.447671,-80.5142235,932
1654,2695,16,43.445113000000006,-80.512934,933
1655,2696,16,43.4431915,-80.51205675,934
1656,2698,16,43.441095,-80.509327,935
1657,2699,16,43.4400905,-80.50818,936
1658,2701,16,43.44061,-80.5054015,937
1659,2702,16,43.441266999999996,-80.501822,938
1660,2368,16,43.4407925,-80.4984155,780
1661,2820,16,43.438686000000004,-80.492949,978
1662,2402,16,43.435988,-80.491019,795
1663,2406,16,43.432796499999995,-80.488832,797
1664,3063,16,43.430552,-80.486981,1053
1665,3065,16,43.432032,-80.4826875,1052
1666,3067,16,43.431623,-80.4796385,1002
1667,2935,16,43.429713,-80.481595,1014
1668,2937,16,43.425111,-80.48385999999999,1000
1669,2938,16,43.422445,-80.487328,1015
1670,2939,16,43.42105933333334,-80.48550666666667,1016
1671,2940,16,43.418701999999996,-80.4830235,1017
1672,2884,16,43.415539,-80.479567,996
1673,1548,16,43.4140705,-80.47783,340
1674,1773,16,43.41107233333333,-80.47606433333333,452
1675,1774,16,43.4075275,-80.4750905,453
1676,1804,16,43.404373500000005,-80.47353100000001,468
1677,1805,16,43.401176666666665,-80.468019,415
1678,1806,16,43.398677,-80.467424,469
1679,1807,16,43.3947575,-80.4679025,470
1680,4238,16,43.393146,-80.4669965,617
1681,3844,16,43.39455,-80.464015,1355
1682,1809,16,43.39597,-80.461447,471
1683,1810,16,43.3972415,-80.45803950000001,472
1684,1811,16,43.396023,-80.455507,473
1685,1820,16,43.3931985,-80.455217,474
1686,1822,16,43.3914405,-80.4509355,475
1687,1751,16,43.389137,-80.448543,447
1688,1752,16,43.3899915,-80.4446395,426
1689,1823,16,43.391897,-80.4401835,476
1690,1745,16,43.39363666666667,-80.43686233333334,446
1691,1824,16,43.393903,-80.434238,477
1692,1826,16,43.391407,-80.43119300000001,478
1693,1827,16,43.3909895,-80.4279555,479
1694,1867,16,43.38974,-80.421695,497
1695,3641,16,43.387951,-80.4115035,441
1696,1731,16,43.389642,-80.408066,442
1697,1732,16,43.3903385,-80.403539,443
1698,1734,16,43.391213,-80.409815,444
1699,1728,16,43.387951,-80.4115035,441
1700,1868,16,43.38974,-80.421695,497
1701,1828,16,43.3909895,-80.4279555,479
1702,1829,16,43.391407,-80.43119300000001,478
1703,1830,16,43.3937,-80.433314,480
1704,3746,16,43.39363666666667,-80.43686233333334,446
1705,1831,16,43.391897,-80.4401835,476
1706,1710,16,43.3899915,-80.4446395,426
1707,1711,16,43.389726,-80.449377,427
1708,1832,16,43.3914405,-80.4509355,475
1709,1834,16,43.3931985,-80.455217,474
1710,1835,16,43.395482,-80.455376,481
