link_id,from_node_id,to_node_id,directed,length,geometry_id,allowed_uses,lanes,travel_time
329,301,302,1,1386.34,329,transit,1,3.0
330,302,303,1,337.17,330,transit,1,1.0
331,303,304,1,668.69,331,transit,1,1.0
332,304,305,1,833.7,332,transit,1,1.0
333,305,306,1,699.19,333,transit,1,1.0
334,306,307,1,886.01,334,transit,1,2.0
335,307,308,1,868.01,335,transit,1,1.0
336,308,309,1,610.19,336,transit,1,2.0
337,309,310,1,440.74,337,transit,1,1.0
338,310,311,1,991.21,338,transit,1,2.0
339,311,312,1,620.04,339,transit,1,2.0
340,671,672,1,500.26,340,transit,1,2.0
341,672,673,1,257.07,341,transit,1,1.0
342,673,674,1,323.71,342,transit,1,1.0
343,674,675,1,847.93,343,transit,1,2.0
344,675,676,1,502.57,344,transit,1,1.0
345,676,677,1,538.18,345,transit,1,1.0
346,677,678,1,232.39,346,transit,1,1.0
347,678,679,1,539.54,347,transit,1,1.0
348,679,680,1,786.25,348,transit,1,2.0
349,680,681,1,408.42,349,transit,1,1.0
350,681,682,1,374.84,350,transit,1,1.0
351,682,683,1,298.68,351,transit,1,1.0
352,683,684,1,329.42,352,transit,1,2.0
353,684,685,1,192.04,353,transit,1,1.0
354,685,686,1,367.29,354,transit,1,1.0
355,686,687,1,761.58,355,transit,1,3.0
356,687,688,1,1243.35,356,transit,1,2.0
357,688,689,1,819.19,357,transit,1,2.0
358,689,690,1,1609.07,358,transit,1,3.0
359,690,691,1,828.53,359,transit,1,1.0
360,691,692,1,327.29,360,transit,1,1.0
361,692,693,1,534.5,361,transit,1,1.0
362,693,694,1,672.67,362,transit,1,1.0
363,694,695,1,908.71,363,transit,1,2.0
364,695,696,1,224.18,364,transit,1,1.0
365,696,697,1,248.13,365,transit,1,2.0
366,697,698,1,376.86,366,transit,1,1.0
367,698,699,1,2751.62,367,transit,1,7.0
368,699,700,1,683.65,368,transit,1,1.0
369,1613,1614,1,759.18,369,transit,1,2.0
370,1614,1615,1,281.52,370,transit,1,2.0
371,1615,1616,1,871.58,371,transit,1,2.0
372,1616,1617,1,705.82,372,transit,1,1.0
373,1617,1618,1,694.16,373,transit,1,2.0
374,1618,1619,1,560.32,374,transit,1,1.0
375,1619,1620,1,1072.77,375,transit,1,3.0
376,1620,1621,1,492.12,376,transit,1,1.0
377,1621,1622,1,593.79,377,transit,1,2.0
378,1622,1623,1,425.79,378,transit,1,1.0
379,1623,1624,1,413.4,379,transit,1,1.0
380,1624,1625,1,536.99,380,transit,1,3.0
381,1625,1626,1,440.35,381,transit,1,3.0
382,1626,1627,1,108.59,382,transit,1,1.0
383,1627,1628,1,503.19,383,transit,1,2.0
384,1628,1629,1,467.84,384,transit,1,2.0
385,1629,1630,1,980.58,385,transit,1,3.0
386,1630,1631,1,247.23,386,transit,1,1.0
387,1631,1632,1,485.61,387,transit,1,1.0
388,1632,1633,1,374.65,388,transit,1,1.0
389,1633,1634,1,586.99,389,transit,1,2.0
390,1634,1635,1,523.2,390,transit,1,1.0
391,1635,1636,1,1082.21,391,transit,1,2.0
392,1636,1637,1,417.48,392,transit,1,1.0
393,1637,1638,1,305.42,393,transit,1,1.0
394,1638,1639,1,660.48,394,transit,1,1.0
395,1639,1640,1,928.77,395,transit,1,2.0
396,1584,1585,1,387.25,396,transit,1,1.0
397,1585,1586,1,769.16,397,transit,1,1.0
398,1586,1587,1,641.79,398,transit,1,1.0
399,1587,1588,1,605.18,399,transit,1,2.0
400,1588,1589,1,772.87,400,transit,1,1.0
401,1589,1590,1,622.8,401,transit,1,2.0
402,1590,1591,1,588.06,402,transit,1,2.0
403,1591,1592,1,352.6,403,transit,1,1.0
404,1592,1593,1,1136.03,404,transit,1,4.0
405,1593,1594,1,356.45,405,transit,1,1.0
