geometry_id,geometry
102,"LINESTRING (538640.7451483532 4810198.904482737, 538600.6902216782 4810551.959549643)"
103,"LINESTRING (538600.6902216782 4810551.959549643, 538547.7117971863 4810830.974519656)"
104,"LINESTRING (538547.7117971863 4810830.974519656, 538373.6880446972 4811167.939925246)"
105,"LINESTRING (538373.6880446972 4811167.939925246, 538218.6934017534 4811390.958088182)"
106,"LINESTRING (538218.6934017534 4811390.958088182, 538098.6924500207 4811550.983831031)"
107,"LINESTRING (538098.6924500207 4811550.983831031, 537949.7254314568 4811654.984852796)"
108,"LINESTRING (537949.7254314568 4811654.984852796, 537645.7390044351 4811717.917318878)"
109,"LINESTRING (537645.7390044351 4811717.917318878, 537448.0886386356 4811968.477238386)"
110,"LINESTRING (537448.0886386356 4811968.477238386, 537299.2336772891 4812274.9571273355)"
111,"LINESTRING (537299.2336772891 4812274.9571273355, 537162.6651870888 4812450.903160863)"
112,"LINESTRING (537162.6651870888 4812450.903160863, 537186.7338888213 4812682.92569375)"
113,"LINESTRING (537186.7338888213 4812682.92569375, 537319.7173411109 4813033.947488899)"
114,"LINESTRING (537319.7173411109 4813033.947488899, 537552.6699351016 4813353.987505149)"
115,"LINESTRING (537552.6699351016 4813353.987505149, 537832.2167619837 4813493.381604486)"
116,"LINESTRING (537832.2167619837 4813493.381604486, 537988.1782078794 4813575.88947501)"
117,"LINESTRING (537988.1782078794 4813575.88947501, 538210.7092314509 4813687.9846591465)"
118,"LINESTRING (538210.7092314509 4813687.9846591465, 538381.1741535288 4813766.9161794)"
119,"LINESTRING (535548.2151448415 4809237.98729239, 535366.839847655 4809532.009206406)"
120,"LINESTRING (535366.839847655 4809532.009206406, 535163.2934976163 4809797.488928281)"
121,"LINESTRING (535163.2934976163 4809797.488928281, 535148.7674240007 4810040.854320469)"
122,"LINESTRING (535148.7674240007 4810040.854320469, 534735.675587032 4810444.971366785)"
123,"LINESTRING (534735.675587032 4810444.971366785, 534637.2168865929 4810580.182827316)"
124,"LINESTRING (534637.2168865929 4810580.182827316, 534640.3267867302 4811029.992460379)"
125,"LINESTRING (534640.3267867302 4811029.992460379, 534634.2158812576 4811242.974558403)"
126,"LINESTRING (534634.2158812576 4811242.974558403, 534491.3862912345 4811482.245860348)"
127,"LINESTRING (534491.3862912345 4811482.245860348, 534270.7339282879 4811756.993852975)"
128,"LINESTRING (534270.7339282879 4811756.993852975, 534068.6653511903 4812023.846590269)"
129,"LINESTRING (534068.6653511903 4812023.846590269, 533880.2192397286 4812255.345583387)"
130,"LINESTRING (533880.2192397286 4812255.345583387, 533634.7243861377 4812557.976515481)"
131,"LINESTRING (533634.7243861377 4812557.976515481, 533480.678662971 4812725.909790457)"
