OBJECTID,Stage1,RouteLocationStage1,Stage2,RouteLocationStage2,TravelDirection,Oneway,RouteStatus,EditDate,GlobalID
374,LRT,Curbside,LRT,Curbside,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{9D118D86-9FDA-4E11-91BC-C29B4E9D8AFB}
375,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{7DCEDAFF-5D2D-4642-B600-D710572E102F}
376,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{63A764B0-763E-442F-9508-4B31717353B9}
377,LRT,Curbside,LRT,Curbside,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{F3B8F7BB-0E8A-475F-BE48-DBBAFB56E822}
378,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{0BEBC7B1-9397-41E4-8497-3BA689160F15}
379,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{0FC48036-473B-4A7C-BA89-1415F5B98440}
380,,,LRT,Centre,Bi-Directional,No,Planned,2018/12/19 15:25:33+00,{D2FD11D6-AAEB-4580-928F-2C57B91443AD}
381,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{0004F7E4-8260-4257-A468-EDCDF24DF6D4}
382,aBRT,Curbside,LRT,Centre,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{B60F9B04-08CB-41DD-AB3A-226C22A62A0F}
383,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{3C54E91A-AC82-42BC-8EE8-E6FE18DB5D1A}
384,,,LRT,Off Road,Bi-Directional,No,Planned,2018/12/18 09:09:34+00,{4CCCF7AB-B5AB-4D87-83D4-E25A2F3738C0}
385,LRT,Rail Corridor,LRT,Rail Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{DA1782C0-65F7-44D2-8295-6DB9039E12DB}
386,aBRT,Curbside,,Curbside,Bi-Directional,No,Planned,2018/12/19 16:25:07+00,{284483E5-7359-4C1E-994B-04641BE7E650}
388,LRT,Rail Corridor,LRT,Rail Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{EFED8164-7714-48B9-A0EE-E86AD3B99139}
389,LRT,Centre,LRT,Centre,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{BF5410FA-15FD-49AA-8309-005B50C2FD21}
390,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{066B7116-1BA1-40AA-9C51-6E3B6733C3B7}
392,,,LRT,Off Road,Bi-Directional,No,Planned,2018/12/19 15:27:16+00,{F0F08FA3-F6AD-4D87-B611-E73D82DF96F0}
393,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{5CFEE0ED-FDFB-4186-BD54-4EAA8F110679}
394,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{09B8D5FE-DCE4-4F52-99B1-A275AA052BB4}
395,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{A9FFAB7C-B257-4166-930B-51D847FF11CF}
396,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{CC2F52CF-6A5C-4313-8598-8F9C3A4E49F5}
397,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{B356D365-930D-42A1-9D92-6328743B1243}
398,LRT,Rail Corridor,LRT,Rail Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{684F1B57-DE36-48AB-A160-7AEEDC5F779B}
399,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{AFB1125C-22AD-455C-9B6B-B5F12FE9ABD4}
400,LRT,Rail Corridor,LRT,Rail Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{EB83ACF3-97F8-4C09-A168-2193FB0A885E}
401,aBRT,Curbside,,Curbside,Bi-Directional,No,Planned,2017/04/21 13:24:16+00,{BB174AC2-3C5D-430B-B8D4-3545FD911BEC}
402,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{69AF2269-BCB3-4B84-BCF4-9A7572E1A31B}
403,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{AA801312-F47B-4A69-B836-3B9C8662B9EA}
404,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{EEEED67F-3BCB-422C-B789-EEF495A55FBC}
405,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{2F562AC7-C459-4C54-AAC5-C314DA11FBAE}
406,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{0089B85E-57FA-4C8D-BA45-21318730B018}
407,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{B4DF5FD8-004E-4120-9D13-3CB51DB76126}
408,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{A7757E13-29A0-4207-B7C5-4B7940243274}
409,LRT,Centre,LRT,Centre,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{36458C0C-9D87-4F83-8CFE-D1D89B8E627F}
410,,,LRT,Rail Corridor,Bi-Directional,No,Planned,2018/12/19 16:22:34+00,{D9FBC01E-0F97-4D7D-AE08-ECB69B57E05A}
411,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{64C18B5E-FD39-49CE-A907-D7B39154C050}
412,aBRT,Curbside,,Centre,Bi-Directional,No,Planned,2018/12/19 16:19:05+00,{60A6E1FB-8526-4D1F-92A5-32C24E41ADDA}
413,LRT,Rail Corridor,LRT,Rail Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{8EE8FBD8-51B9-441E-B2D8-50199F814DFE}
